start,end,description,title,link,image
1790,1876,Presidente de la República de Chile,Manuel Blanco Encalada,http://es.wikipedia.org/wiki/Manuel_Blanco_Encalada,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Firma_Blanco_Encalada.svg/128px-Firma_Blanco_Encalada.svg.png
1785,1858,Presidente de Chile,Francisco Antonio Pinto y Díaz de la Puente,http://es.wikipedia.org/wiki/Francisco_Antonio_Pinto_D%C3%ADaz,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Firma_Francisco_Antonio_Pinto.svg/128px-Firma_Francisco_Antonio_Pinto.svg.png
1790,1860,Presidente de Chile,,http://es.wikipedia.org/wiki/Francisco_Ruiz-Tagle,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Firma_Francisco_Ruiz-Tagle.png/128px-Firma_Francisco_Ruiz-Tagle.png
1787,1851,Presidente de la República de Chile,Ramón Freire Serrano,http://es.wikipedia.org/wiki/Ram%C3%B3n_Freire_Serrano,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Firma_Ram%C3%B3n_Freire.svg/128px-Firma_Ram%C3%B3n_Freire.svg.png
1777,1852,Director Supremo de Chile,Francisco de la Lastra de la Sotta,http://es.wikipedia.org/wiki/Francisco_de_la_Lastra,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Fco._de_la_Lastra.JPG/250px-Fco._de_la_Lastra.JPG
1786,1868,Director Supremo de Chile,Antonio José de Irisarri,http://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Irisarri,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Antonio_Jos%C3%A9_de_Irisarri.jpg/250px-Antonio_Jos%C3%A9_de_Irisarri.jpg
1778,1842,Director Supremo de Chile,Bernardo O'Higgins Riquelme,http://es.wikipedia.org/wiki/Bernardo_O%27Higgins_Riquelme,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Firma_B.Ohiggins.svg/128px-Firma_B.Ohiggins.svg.png
1768,1837,Presidente de la Junta Nacional de Gobierno de Chile,Agustín de Eyzaguirre,http://es.wikipedia.org/wiki/Agust%C3%ADn_Eyzaguirre_Arechavala,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Agust%C3%ADn_de_Eyzaguirre.jpg/225px-Agust%C3%ADn_de_Eyzaguirre.jpg
1782,1818,Presidente de la Junta Nacional de Gobierno de Chile,Juan José Carrera Verdugo,http://es.wikipedia.org/wiki/Juan_Jos%C3%A9_Carrera_Verdugo,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Juan_Jose_Carrera.jpg/225px-Juan_Jose_Carrera.jpg
1780,1825,Presidente de la Junta Nacional de Gobierno de Chile,Juan Enrique Rosales Fuentes,http://es.wikipedia.org/wiki/Juan_Enrique_Rosales,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Juan_Enrique_Rosales.jpg/225px-Juan_Enrique_Rosales.jpg
1756,1828,Presidente de la Junta Nacional de Gobierno de Chile,Martín Calvo Encalada Recabarren,http://es.wikipedia.org/wiki/Mart%C3%ADn_Calvo_Encalada,//upload.wikimedia.org/wikipedia/commons/c/c6/MartinCalvoEncalada.jpg
1740,1818,Presidente de la Junta Nacional de Gobierno de Chile,Fernando Márquez de la Plata,http://es.wikipedia.org/wiki/Fernando_M%C3%A1rquez_de_la_Plata,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Fernando_Marquez_de_la_Plata.jpg/225px-Fernando_Marquez_de_la_Plata.jpg
1778,1844,Presidente de la Junta Nacional de Gobierno de Chile,José Miguel Infante Rojas,http://es.wikipedia.org/wiki/Jos%C3%A9_Miguel_Infante,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Jose_Miguel_Infante.jpeg/225px-Jose_Miguel_Infante.jpeg
1785,1821,Junta de Gobierno de Chile,José Miguel Carrera Verdugo,http://es.wikipedia.org/wiki/Jos%C3%A9_Miguel_Carrera_Verdugo,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Firmacarrera3.PNG/128px-Firmacarrera3.PNG
1758,1813,Presidente de la Junta Nacional de Gobierno de Chile,Juan Martínez de Rozas Correa,http://es.wikipedia.org/wiki/Juan_Mart%C3%ADnez_de_Rozas,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Juan_Mart%C3%ADnez_de_Rozas.jpg/225px-Juan_Mart%C3%ADnez_de_Rozas.jpg
